"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1098","Test Case 3: Login User with incorrect email and password","tests","Tue May 13 17:02:08 GMT 2025","passed","Tue May 13 17:02:09 GMT 2025","TestLoginPage","test_login","",""
"","4072","Test Case 1: Register User","tests","Tue May 13 17:02:08 GMT 2025","passed","Tue May 13 17:02:13 GMT 2025","TestSingUp","test_sing_up","",""
"","1885","Test Case 9: Product Search","tests","Tue May 13 17:02:09 GMT 2025","passed","Tue May 13 17:02:11 GMT 2025","TestProductSearch","test_product_search","",""
"","2027","Test Case 6: Contact Us Form","tests","Tue May 13 17:02:09 GMT 2025","passed","Tue May 13 17:02:11 GMT 2025","TestContact","test_contact","",""
"","1745","Test Case 8: Verify All Products and product detail page","tests","Tue May 13 17:02:13 GMT 2025","passed","Tue May 13 17:02:14 GMT 2025","TestProducts","test_products","",""
"","96","Test Case 10: Verify Subscription in home page","tests","Tue May 13 17:02:21 GMT 2025","passed","Tue May 13 17:02:21 GMT 2025","TestSubscription","test_subscription","",""
"","1533","Test Case 2: Login User with correct email and password","tests","Tue May 13 17:02:18 GMT 2025","passed","Tue May 13 17:02:20 GMT 2025","TestLoginPage","test_login","",""
"","540","Test Case 7: Verify Test Cases Page","tests","Tue May 13 17:02:17 GMT 2025","passed","Tue May 13 17:02:17 GMT 2025","TestTestCasesPage","test_test_cases","",""
"","1187","Test Case 5: Register User with existing email","tests","Tue May 13 17:02:15 GMT 2025","passed","Tue May 13 17:02:16 GMT 2025","TestSingUp","test_sing_up","",""
"","2216","Test Case 4: Logout User","tests","Tue May 13 17:02:17 GMT 2025","passed","Tue May 13 17:02:19 GMT 2025","TestLoginPage","test_login","",""
